,Line
1740, Possibly it had occurred to him that the colossal  significance of that light had now vanished forever
1741," Compared to the  great distance that had separated him from Daisy it had seemed very  near to her, almost touching her"
1742, It had seemed as close as a star to  the moon
1743, Now it was again a green light on a dock
1744, His count of  enchanted objects had diminished by one
1745,"    I began to walk about the room, examining various indefinite objects  in the half darkness"
1746," A large photograph of an elderly man in yachting  costume attracted me, hung on the wall over his desk"
1747,    “Who’s this
1748,”    “That
1749, That’s Mr
1750," Dan Cody, old sport"
1751,”    The name sounded faintly familiar
1752,    “He’s dead now
1753, He used to be my best friend years ago
1754,"”    There was a small picture of Gatsby, also in yachting costume, on the  bureau—Gatsby with his head thrown back defiantly—taken apparently  when he was about eighteen"
1755,"    “I adore it,” exclaimed Daisy"
1756, “The pompadour
1757, You never told me you  had a pompadour—or a yacht
1758,"”    “Look at this,” said Gatsby quickly"
1759, “Here’s a lot of clippings—about  you
1760,”    They stood side by side examining it
1761," I was going to ask to see the  rubies when the phone rang, and Gatsby took up the receiver"
1762,"    “Yes … Well, I can’t talk now … I can’t talk now, old sport … I said a  small town … He must know what a small town is … Well, he’s no use to  us if Detroit is his idea of a small town …”    He rang off"
1763,    “Come here quick
1764,” cried Daisy at the window
1765,"    The rain was still falling, but the darkness had parted in the west,  and there was a pink and golden billow of foamy clouds above the sea"
1766,"    “Look at that,” she whispered, and then after a moment: “I’d like to  just get one of those pink clouds and put you in it and push you  around"
1767,"”    I tried to go then, but they wouldn’t hear of it; perhaps my presence  made them feel more satisfactorily alone"
1768,"    “I know what we’ll do,” said Gatsby, “we’ll have Klipspringer play the  piano"
1769,”    He went out of the room calling “Ewing
1770,"” and returned in a few minutes  accompanied by an embarrassed, slightly worn young man, with  shell-rimmed glasses and scanty blond hair"
1771," He was now decently  clothed in a “sport shirt,” open at the neck, sneakers, and duck  trousers of a nebulous hue"
1772,    “Did we interrupt your exercise
1773,” inquired Daisy politely
1774,"    “I was asleep,” cried Mr"
1775," Klipspringer, in a spasm of embarrassment"
1776,"  “That is, I’d been asleep"
1777," Then I got up …”    “Klipspringer plays the piano,” said Gatsby, cutting him off"
1778," “Don’t  you, Ewing, old sport"
1779,”    “I don’t play well
1780, I don’t—hardly play at all
1781," I’m all out of prac—”    “We’ll go downstairs,” interrupted Gatsby"
1782, He flipped a switch
1783, The  grey windows disappeared as the house glowed full of light
1784,    In the music-room Gatsby turned on a solitary lamp beside the piano
1785,"  He lit Daisy’s cigarette from a trembling match, and sat down with her  on a couch far across the room, where there was no light save what the  gleaming floor bounced in from the hall"
1786,    When Klipspringer had played “The Love Nest” he turned around on the  bench and searched unhappily for Gatsby in the gloom
1787,"    “I’m all out of practice, you see"
1788, I told you I couldn’t play
1789," I’m all  out of prac—”    “Don’t talk so much, old sport,” commanded Gatsby"
1790, “Play
1791,"”     “In the morning, In the evening, Ain’t we got fun—”    Outside the wind was loud and there was a faint flow of thunder along  the Sound"
1792," All the lights were going on in West Egg now; the electric  trains, men-carrying, were plunging home through the rain from New  York"
1793," It was the hour of a profound human change, and excitement was  generating on the air"
1794,     “One thing’s sure and nothing’s surer The rich get richer and the   poor get—children
1795," In the meantime, In between time—”    As I went over to say goodbye I saw that the expression of  bewilderment had come back into Gatsby’s face, as though a faint doubt  had occurred to him as to the quality of his present happiness"
1796, Almost  five years
1797," There must have been moments even that afternoon when  Daisy tumbled short of his dreams—not through her own fault, but  because of the colossal vitality of his illusion"
1798," It had gone beyond  her, beyond everything"
1799," He had thrown himself into it with a creative  passion, adding to it all the time, decking it out with every bright  feather that drifted his way"
1800, No amount of fire or freshness can  challenge what a man can store up in his ghostly heart
1801,"    As I watched him he adjusted himself a little, visibly"
1802," His hand took  hold of hers, and as she said something low in his ear he turned  toward her with a rush of emotion"
1803," I think that voice held him most,  with its fluctuating, feverish warmth, because it couldn’t be  over-dreamed—that voice was a deathless song"
1804,"    They had forgotten me, but Daisy glanced up and held out her hand;  Gatsby didn’t know me now at all"
1805," I looked once more at them and they  looked back at me, remotely, possessed by intense life"
1806," Then I went  out of the room and down the marble steps into the rain, leaving them  there together"
1807,                                        VI    About this time an ambitious young reporter from New York arrived one  morning at Gatsby’s door and asked him if he had anything to say
1808,    “Anything to say about what
1809,” inquired Gatsby politely
1810,    “Why—any statement to give out
1811,”    It transpired after a confused five minutes that the man had heard  Gatsby’s name around his office in a connection which he either  wouldn’t reveal or didn’t fully understand
1812, This was his day off and  with laudable initiative he had hurried out “to see
1813,"”    It was a random shot, and yet the reporter’s instinct was right"
1814,"  Gatsby’s notoriety, spread about by the hundreds who had accepted his  hospitality and so become authorities upon his past, had increased all  summer until he fell just short of being news"
1815," Contemporary legends  such as the “underground pipeline to Canada” attached themselves to  him, and there was one persistent story that he didn’t live in a house  at all, but in a boat that looked like a house and was moved secretly  up and down the Long Island shore"
1816," Just why these inventions were a  source of satisfaction to James Gatz of North Dakota, isn’t easy to  say"
1817,"    James Gatz—that was really, or at least legally, his name"
1818, He had  changed it at the age of seventeen and at the specific moment that  witnessed the beginning of his career—when he saw Dan Cody’s yacht  drop anchor over the most insidious flat on Lake Superior
1819," It was  James Gatz who had been loafing along the beach that afternoon in a  torn green jersey and a pair of canvas pants, but it was already Jay  Gatsby who borrowed a rowboat, pulled out to the Tuolomee, and  informed Cody that a wind might catch him and break him up in half an  hour"
1820,"    I suppose he’d had the name ready for a long time, even then"
1821, His  parents were shiftless and unsuccessful farm people—his imagination  had never really accepted them as his parents at all
1822," The truth was  that Jay Gatsby of West Egg, Long Island, sprang from his Platonic  conception of himself"
1823," He was a son of God—a phrase which, if it means  anything, means just that—and he must be about His Father’s business,  the service of a vast, vulgar, and meretricious beauty"
1824," So he invented  just the sort of Jay Gatsby that a seventeen-year-old boy would be  likely to invent, and to this conception he was faithful to the end"
1825,    For over a year he had been beating his way along the south shore of  Lake Superior as a clam-digger and a salmon-fisher or in any other  capacity that brought him food and bed
1826," His brown, hardening body  lived naturally through the half-fierce, half-lazy work of the bracing  days"
1827," He knew women early, and since they spoiled him he became  contemptuous of them, of young virgins because they were ignorant, of  the others because they were hysterical about things which in his  overwhelming self-absorption he took for granted"
1828,"    But his heart was in a constant, turbulent riot"
1829, The most grotesque  and fantastic conceits haunted him in his bed at night
1830, A universe of  ineffable gaudiness spun itself out in his brain while the clock  ticked on the washstand and the moon soaked with wet light his tangled  clothes upon the floor
1831, Each night he added to the pattern of his  fancies until drowsiness closed down upon some vivid scene with an  oblivious embrace
1832," For a while these reveries provided an outlet for  his imagination; they were a satisfactory hint of the unreality of  reality, a promise that the rock of the world was founded securely on  a fairy’s wing"
1833,"    An instinct toward his future glory had led him, some months before,  to the small Lutheran College of St"
1834, Olaf’s in southern Minnesota
1835," He  stayed there two weeks, dismayed at its ferocious indifference to the  drums of his destiny, to destiny itself, and despising the janitor’s  work with which he was to pay his way through"
1836," Then he drifted back to  Lake Superior, and he was still searching for something to do on the  day that Dan Cody’s yacht dropped anchor in the shallows alongshore"
1837,"    Cody was fifty years old then, a product of the Nevada silver fields,  of the Yukon, of every rush for metal since seventy-five"
1838," The  transactions in Montana copper that made him many times a millionaire  found him physically robust but on the verge of soft-mindedness, and,  suspecting this, an infinite number of women tried to separate him  from his money"
1839," The none too savoury ramifications by which Ella Kaye,  the newspaper woman, played Madame de Maintenon to his weakness and  sent him to sea in a yacht, were common property of the turgid  journalism in 1902"
1840, He had been coasting along all too hospitable  shores for five years when he turned up as James Gatz’s destiny in  Little Girl Bay
1841,"    To young Gatz, resting on his oars and looking up at the railed deck,  that yacht represented all the beauty and glamour in the world"
1842, I  suppose he smiled at Cody—he had probably discovered that people liked  him when he smiled
1843, At any rate Cody asked him a few questions (one of  them elicited the brand new name) and found that he was quick and  extravagantly ambitious
1844," A few days later he took him to Duluth and  bought him a blue coat, six pairs of white duck trousers, and a  yachting cap"
1845," And when the Tuolomee left for the West Indies and the  Barbary Coast, Gatsby left too"
1846,"    He was employed in a vague personal capacity—while he remained with  Cody he was in turn steward, mate, skipper, secretary, and even  jailor, for Dan Cody sober knew what lavish doings Dan Cody drunk  might soon be about, and he provided for such contingencies by  reposing more and more trust in Gatsby"
1847," The arrangement lasted five  years, during which the boat went three times around the Continent"
1848,  It might have lasted indefinitely except for the fact that Ella Kaye  came on board one night in Boston and a week later Dan Cody  inhospitably died
1849,"    I remember the portrait of him up in Gatsby’s bedroom, a grey, florid  man with a hard, empty face—the pioneer debauchee, who during one  phase of American life brought back to the Eastern seaboard the savage  violence of the frontier brothel and saloon"
1850, It was indirectly due to  Cody that Gatsby drank so little
1851, Sometimes in the course of gay  parties women used to rub champagne into his hair; for himself he  formed the habit of letting liquor alone
1852,    And it was from Cody that he inherited money—a legacy of twenty-five  thousand dollars
1853, He didn’t get it
1854," He never understood the legal  device that was used against him, but what remained of the millions  went intact to Ella Kaye"
1855, He was left with his singularly appropriate  education; the vague contour of Jay Gatsby had filled out to the  substantiality of a man
1856,"    ------------------------------------------------------------------------    He told me all this very much later, but I’ve put it down here with  the idea of exploding those first wild rumours about his antecedents,  which weren’t even faintly true"
1857," Moreover he told it to me at a time  of confusion, when I had reached the point of believing everything and  nothing about him"
1858," So I take advantage of this short halt, while  Gatsby, so to speak, caught his breath, to clear this set of  misconceptions away"
1859,"    It was a halt, too, in my association with his affairs"
1860," For several  weeks I didn’t see him or hear his voice on the phone—mostly I was in  New York, trotting around with Jordan and trying to ingratiate myself  with her senile aunt—but finally I went over to his house one Sunday  afternoon"
1861, I hadn’t been there two minutes when somebody brought Tom  Buchanan in for a drink
1862," I was startled, naturally, but the really  surprising thing was that it hadn’t happened before"
1863,"    They were a party of three on horseback—Tom and a man named Sloane and  a pretty woman in a brown riding-habit, who had been there previously"
1864,"    “I’m delighted to see you,” said Gatsby, standing on his porch"
1865, “I’m  delighted that you dropped in
1866,”    As though they cared
1867,    “Sit right down
1868, Have a cigarette or a cigar
1869,"” He walked around the  room quickly, ringing bells"
1870, “I’ll have something to drink for you in  just a minute
1871,”    He was profoundly affected by the fact that Tom was there
1872," But he  would be uneasy anyhow until he had given them something, realizing in  a vague way that that was all they came for"
1873, Mr
1874, Sloane wanted  nothing
1875, A lemonade
1876," No, thanks"
1877, A little champagne
1878," Nothing at all,  thanks … I’m sorry—    “Did you have a nice ride"
1879,”    “Very good roads around here
1880,”    “I suppose the automobiles—”    “Yeah
1881,"”    Moved by an irresistible impulse, Gatsby turned to Tom, who had  accepted the introduction as a stranger"
1882,"    “I believe we’ve met somewhere before, Mr"
1883, Buchanan
1884,"”    “Oh, yes,” said Tom, gruffly polite, but obviously not remembering"
1885,  “So we did
1886, I remember very well
1887,”    “About two weeks ago
1888,”    “That’s right
1889, You were with Nick here
1890,"”    “I know your wife,” continued Gatsby, almost aggressively"
1891,    “That so
1892,”    Tom turned to me
1893,"    “You live near here, Nick"
1894,”    “Next door
1895,”    “That so
1896,”    Mr
1897," Sloane didn’t enter into the conversation, but lounged back  haughtily in his chair; the woman said nothing either—until  unexpectedly, after two highballs, she became cordial"
1898,"    “We’ll all come over to your next party, Mr"
1899," Gatsby,” she suggested"
1900,  “What do you say
1901,”    “Certainly; I’d be delighted to have you
1902,"”    “Be ver’ nice,” said Mr"
1903," Sloane, without gratitude"
1904, “Well—think ought  to be starting home
1905,"”    “Please don’t hurry,” Gatsby urged them"
1906," He had control of himself  now, and he wanted to see more of Tom"
1907, “Why don’t you—why don’t you  stay for supper
1908, I wouldn’t be surprised if some other people dropped  in from New York
1909,"”    “You come to supper with me,” said the lady enthusiastically"
1910, “Both of  you
1911,”    This included me
1912, Mr
1913, Sloane got to his feet
1914,"    “Come along,” he said—but to her only"
1915,"    “I mean it,” she insisted"
1916, “I’d love to have you
1917, Lots of room
1918,”    Gatsby looked at me questioningly
1919, He wanted to go and he didn’t see  that Mr
1920, Sloane had determined he shouldn’t
1921,"    “I’m afraid I won’t be able to,” I said"
1922,"    “Well, you come,” she urged, concentrating on Gatsby"
1923,    Mr
1924, Sloane murmured something close to her ear
1925,"    “We won’t be late if we start now,” she insisted aloud"
1926,"    “I haven’t got a horse,” said Gatsby"
1927," “I used to ride in the army, but  I’ve never bought a horse"
1928, I’ll have to follow you in my car
1929, Excuse  me for just a minute
1930,"”    The rest of us walked out on the porch, where Sloane and the lady  began an impassioned conversation aside"
1931,"    “My God, I believe the man’s coming,” said Tom"
1932, “Doesn’t he know she  doesn’t want him
1933,”    “She says she does want him
1934,”    “She has a big dinner party and he won’t know a soul there
1935,” He  frowned
1936, “I wonder where in the devil he met Daisy
1937," By God, I may be  old-fashioned in my ideas, but women run around too much these days to  suit me"
1938, They meet all kinds of crazy fish
1939,”    Suddenly Mr
1940, Sloane and the lady walked down the steps and mounted  their horses
1941,"    “Come on,” said Mr"
1942," Sloane to Tom, “we’re late"
1943, We’ve got to go
1944,"”  And  then to me: “Tell him we couldn’t wait, will you"
1945,"”    Tom and I shook hands, the rest of us exchanged a cool nod, and they  trotted quickly down the drive, disappearing under the August foliage  just as Gatsby, with hat and light overcoat in hand, came out the  front door"
1946,"    Tom was evidently perturbed at Daisy’s running around alone, for on  the following Saturday night he came with her to Gatsby’s  party"
1947, Perhaps his presence gave the evening its peculiar quality of  oppressiveness—it stands out in my memory from Gatsby’s other parties  that summer
1948," There were the same people, or at least the same sort of  people, the same profusion of champagne, the same many-coloured,  many-keyed commotion, but I felt an unpleasantness in the air, a  pervading harshness that hadn’t been there before"
1949," Or perhaps I had  merely grown used to it, grown to accept West Egg as a world complete  in itself, with its own standards and its own great figures, second to  nothing because it had no consciousness of being so, and now I was  looking at it again, through Daisy’s eyes"
1950, It is invariably saddening  to look through new eyes at things upon which you have expended your  own powers of adjustment
1951,"    They arrived at twilight, and, as we strolled out among the sparkling  hundreds, Daisy’s voice was playing murmurous tricks in her throat"
1952,"    “These things excite me so,” she whispered"
1953," “If you want to kiss me  any time during the evening, Nick, just let me know and I’ll be glad  to arrange it for you"
1954, Just mention my name
1955, Or present a green card
1956,"  I’m giving out green—”    “Look around,” suggested Gatsby"
1957,    “I’m looking around
1958, I’m having a marvellous—”    “You must see the faces of many people you’ve heard about
1959,”    Tom’s arrogant eyes roamed the crowd
1960,"    “We don’t go around very much,” he said; “in fact, I was just thinking  I don’t know a soul here"
1961,”    “Perhaps you know that lady
1962,"” Gatsby indicated a gorgeous, scarcely  human orchid of a woman who sat in state under a white-plum tree"
1963," Tom  and Daisy stared, with that peculiarly unreal feeling that accompanies  the recognition of a hitherto ghostly celebrity of the movies"
1964,"    “She’s lovely,” said Daisy"
1965,    “The man bending over her is her director
1966,”    He took them ceremoniously from group to group:    “Mrs
1967, Buchanan … and Mr
1968, Buchanan—” After an instant’s hesitation he  added: “the polo player
1969,"”    “Oh no,” objected Tom quickly, “not me"
1970,”    But evidently the sound of it pleased Gatsby for Tom remained “the  polo player” for the rest of the evening
1971,"    “I’ve never met so many celebrities,” Daisy exclaimed"
1972, “I liked that  man—what was his name
1973,—with the sort of blue nose
1974,"”    Gatsby identified him, adding that he was a small producer"
1975,"    “Well, I liked him anyhow"
1976,"”    “I’d a little rather not be the polo player,” said Tom pleasantly,  “I’d rather look at all these famous people in—in oblivion"
1977,”    Daisy and Gatsby danced
1978," I remember being surprised by his graceful,  conservative foxtrot—I had never seen him dance before"
1979," Then they  sauntered over to my house and sat on the steps for half an hour,  while at her request I remained watchfully in the garden"
1980," “In case  there’s a fire or a flood,” she explained, “or any act of God"
1981,”    Tom appeared from his oblivion as we were sitting down to supper  together
1982, “Do you mind if I eat with some people over here
1983,” he  said
1984, “A fellow’s getting off some funny stuff
1985,"”    “Go ahead,” answered Daisy genially, “and if you want to take down any  addresses here’s my little gold pencil"
1986,"” … She looked around after a  moment and told me the girl was “common but pretty,” and I knew that  except for the half-hour she’d been alone with Gatsby she wasn’t  having a good time"
1987,    We were at a particularly tipsy table
1988," That was my fault—Gatsby had  been called to the phone, and I’d enjoyed these same people only two  weeks before"
1989, But what had amused me then turned septic on the air  now
1990,"    “How do you feel, Miss Baedeker"
1991,"”    The girl addressed was trying, unsuccessfully, to slump against my  shoulder"
1992, At this inquiry she sat up and opened her eyes
1993,    “Wha’
1994,"”    A massive and lethargic woman, who had been urging Daisy to play golf  with her at the local club tomorrow, spoke in Miss Baedeker’s defence:    “Oh, she’s all right now"
1995, When she’s had five or six cocktails she  always starts screaming like that
1996, I tell her she ought to leave it  alone
1997,"”    “I do leave it alone,” affirmed the accused hollowly"
1998,"    “We heard you yelling, so I said to Doc Civet here: ‘There’s somebody  that needs your help, Doc"
1999,"’ ”    “She’s much obliged, I’m sure,” said another friend, without  gratitude, “but you got her dress all wet when you stuck her head in  the pool"
2000,"”    “Anything I hate is to get my head stuck in a pool,” mumbled Miss  Baedeker"
2001, “They almost drowned me once over in New Jersey
2002,"”    “Then you ought to leave it alone,” countered Doctor Civet"
2003,    “Speak for yourself
2004,” cried Miss Baedeker violently
2005, “Your hand  shakes
2006, I wouldn’t let you operate on me
2007,”    It was like that
2008, Almost the last thing I remember was standing with  Daisy and watching the moving-picture director and his Star
2009," They were  still under the white-plum tree and their faces were touching except  for a pale, thin ray of moonlight between"
2010," It occurred to me that he  had been very slowly bending toward her all evening to attain this  proximity, and even while I watched I saw him stoop one ultimate  degree and kiss at her cheek"
2011,"    “I like her,” said Daisy, “I think she’s lovely"
2012,”    But the rest offended her—and inarguably because it wasn’t a gesture  but an emotion
2013," She was appalled by West Egg, this unprecedented  “place” that Broadway had begotten upon a Long Island fishing  village—appalled by its raw vigour that chafed under the old  euphemisms and by the too obtrusive fate that herded its inhabitants  along a shortcut from nothing to nothing"
2014, She saw something awful in  the very simplicity she failed to understand
2015,    I sat on the front steps with them while they waited for their car
2016,  It was dark here in front; only the bright door sent ten square feet  of light volleying out into the soft black morning
2017," Sometimes a shadow  moved against a dressing-room blind above, gave way to another shadow,  an indefinite procession of shadows, who rouged and powdered in an  invisible glass"
2018,    “Who is this Gatsby anyhow
2019,” demanded Tom suddenly
2020, “Some big  bootlegger
2021,”    “Where’d you hear that
2022,” I inquired
2023,    “I didn’t hear it
2024, I imagined it
2025," A lot of these newly rich people are  just big bootleggers, you know"
2026,"”    “Not Gatsby,” I said shortly"
2027,    He was silent for a moment
2028, The pebbles of the drive crunched under  his feet
2029,"    “Well, he certainly must have strained himself to get this menagerie  together"
2030,”    A breeze stirred the grey haze of Daisy’s fur collar
2031,"    “At least they are more interesting than the people we know,” she said  with an effort"
2032,    “You didn’t look so interested
2033,"”    “Well, I was"
2034,”    Tom laughed and turned to me
2035,    “Did you notice Daisy’s face when that girl asked her to put her under  a cold shower
2036,"”    Daisy began to sing with the music in a husky, rhythmic whisper,  bringing out a meaning in each word that it had never had before and  would never have again"
2037," When the melody rose her voice broke up  sweetly, following it, in a way contralto voices have, and each change  tipped out a little of her warm human magic upon the air"
2038,"    “Lots of people come who haven’t been invited,” she said  suddenly"
2039, “That girl hadn’t been invited
2040, They simply force their way  in and he’s too polite to object
2041,"”    “I’d like to know who he is and what he does,” insisted Tom"
2042, “And I  think I’ll make a point of finding out
2043,"”    “I can tell you right now,” she answered"
2044," “He owned some drugstores, a  lot of drugstores"
2045, He built them up himself
2046,”    The dilatory limousine came rolling up the drive
2047,"    “Good night, Nick,” said Daisy"
2048,"    Her glance left me and sought the lighted top of the steps, where  “Three O’Clock in the Morning,” a neat, sad little waltz of that year,  was drifting out the open door"
2049," After all, in the very casualness of  Gatsby’s party there were romantic possibilities totally absent from  her world"
2050, What was it up there in the song that seemed to be calling  her back inside
2051," What would happen now in the dim, incalculable hours"
2052,"  Perhaps some unbelievable guest would arrive, a person infinitely rare  and to be marvelled at, some authentically radiant young girl who with  one fresh glance at Gatsby, one moment of magical encounter, would  blot out those five years of unwavering devotion"
2053,    I stayed late that night
2054," Gatsby asked me to wait until he was free,  and I lingered in the garden until the inevitable swimming party had  run up, chilled and exalted, from the black beach, until the lights  were extinguished in the guestrooms overhead"
2055," When he came down the  steps at last the tanned skin was drawn unusually tight on his face,  and his eyes were bright and tired"
2056,"    “She didn’t like it,” he said immediately"
2057,    “Of course she did
2058,"”    “She didn’t like it,” he insisted"
2059, “She didn’t have a good time
2060,"”    He was silent, and I guessed at his unutterable depression"
2061,"    “I feel far away from her,” he said"
2062, “It’s hard to make her  understand
2063,”    “You mean about the dance
2064,”    “The dance
2065,” He dismissed all the dances he had given with a snap of  his fingers
2066," “Old sport, the dance is unimportant"
2067,”    He wanted nothing less of Daisy than that she should go to Tom and  say: “I never loved you
2068,” After she had obliterated four years with  that sentence they could decide upon the more practical measures to be  taken
2069," One of them was that, after she was free, they were to go back  to Louisville and be married from her house—just as if it were five  years ago"
2070,"    “And she doesn’t understand,” he said"
2071, “She used to be able to  understand
2072, We’d sit for hours—”    He broke off and began to walk up and down a desolate path of fruit  rinds and discarded favours and crushed flowers
2073,"    “I wouldn’t ask too much of her,” I ventured"
2074, “You can’t repeat the  past
2075,”    “Can’t repeat the past
2076,” he cried incredulously
2077, “Why of course you  can
2078,"”    He looked around him wildly, as if the past were lurking here in the  shadow of his house, just out of reach of his hand"
2079,"    “I’m going to fix everything just the way it was before,” he said,  nodding determinedly"
2080, “She’ll see
2081,"”    He talked a lot about the past, and I gathered that he wanted to  recover something, some idea of himself perhaps, that had gone into  loving Daisy"
2082," His life had been confused and disordered since then,  but if he could once return to a certain starting place and go over it  all slowly, he could find out what that thing was …    … One autumn night, five years before, they had been walking down the  street when the leaves were falling, and they came to a place where  there were no trees and the sidewalk was white with moonlight"
2083, They  stopped here and turned toward each other
2084, Now it was a cool night  with that mysterious excitement in it which comes at the two changes  of the year
2085, The quiet lights in the houses were humming out into the  darkness and there was a stir and bustle among the stars
2086," Out of the  corner of his eye Gatsby saw that the blocks of the sidewalks really  formed a ladder and mounted to a secret place above the trees—he could  climb to it, if he climbed alone, and once there he could suck on the  pap of life, gulp down the incomparable milk of wonder"
2087,    His heart beat faster as Daisy’s white face came up to his own
2088," He  knew that when he kissed this girl, and forever wed his unutterable  visions to her perishable breath, his mind would never romp again like  the mind of God"
2089," So he waited, listening for a moment longer to the  tuning-fork that had been struck upon a star"
2090, Then he kissed her
2091, At  his lips’ touch she blossomed for him like a flower and the  incarnation was complete
2092,"    Through all he said, even through his appalling sentimentality, I was  reminded of something—an elusive rhythm, a fragment of lost words,  that I had heard somewhere a long time ago"
2093," For a moment a phrase  tried to take shape in my mouth and my lips parted like a dumb man’s,  as though there was more struggling upon them than a wisp of startled  air"
2094," But they made no sound, and what I had almost remembered was  uncommunicable forever"
2095,"                                       VII    It was when curiosity about Gatsby was at its highest that the lights  in his house failed to go on one Saturday night—and, as obscurely as  it had begun, his career as Trimalchio was over"
2096, Only gradually did I  become aware that the automobiles which turned expectantly into his  drive stayed for just a minute and then drove sulkily away
2097, Wondering  if he were sick I went over to find out—an unfamiliar butler with a  villainous face squinted at me suspiciously from the door
2098,    “Is Mr
2099, Gatsby sick
2100,”    “Nope
2101,"” After a pause he added “sir” in a dilatory, grudging way"
2102,"    “I hadn’t seen him around, and I was rather worried"
2103, Tell him Mr
2104,  Carraway came over
2105,”    “Who
2106,” he demanded rudely
2107,    “Carraway
2108,”    “Carraway
2109," All right, I’ll tell him"
2110,”    Abruptly he slammed the door
2111,"    My Finn informed me that Gatsby had dismissed every servant in his  house a week ago and replaced them with half a dozen others, who never  went into West Egg village to be bribed by the tradesmen, but ordered  moderate supplies over the telephone"
2112," The grocery boy reported that  the kitchen looked like a pigsty, and the general opinion in the  village was that the new people weren’t servants at all"
2113,    Next day Gatsby called me on the phone
2114,    “Going away
2115,” I inquired
2116,"    “No, old sport"
2117,”    “I hear you fired all your servants
2118,”    “I wanted somebody who wouldn’t gossip
2119, Daisy comes over quite  often—in the afternoons
2120,”    So the whole caravansary had fallen in like a card house at the  disapproval in her eyes
2121,    “They’re some people Wolfshiem wanted to do something for
2122, They’re all  brothers and sisters
2123, They used to run a small hotel
2124,”    “I see
2125,”    He was calling up at Daisy’s request—would I come to lunch at her  house tomorrow
2126, Miss Baker would be there
2127, Half an hour later Daisy  herself telephoned and seemed relieved to find that I was  coming
2128, Something was up
2129, And yet I couldn’t believe that they would  choose this occasion for a scene—especially for the rather harrowing  scene that Gatsby had outlined in the garden
2130,"    The next day was broiling, almost the last, certainly the warmest, of  the summer"
2131," As my train emerged from the tunnel into sunlight, only  the hot whistles of the National Biscuit Company broke the simmering  hush at noon"
2132," The straw seats of the car hovered on the edge of  combustion; the woman next to me perspired delicately for a while into  her white shirtwaist, and then, as her newspaper dampened under her  fingers, lapsed despairingly into deep heat with a desolate cry"
2133, Her  pocketbook slapped to the floor
2134,"    “Oh, my"
2135,” she gasped
2136,"    I picked it up with a weary bend and handed it back to her, holding it  at arm’s length and by the extreme tip of the corners to indicate that  I had no designs upon it—but everyone near by, including the woman,  suspected me just the same"
2137,    “Hot
2138,” said the conductor to familiar faces
2139, “Some weather
2140, … Hot
2141, …  Hot
2142, … Hot
2143, … Is it hot enough for you
2144, Is it hot
2145, Is it … 
2146,”    My commutation ticket came back to me with a dark stain from his hand
2147,"  That anyone should care in this heat whose flushed lips he kissed,  whose head made damp the pyjama pocket over his heart"
2148,"    … Through the hall of the Buchanans’ house blew a faint wind, carrying  the sound of the telephone bell out to Gatsby and me as we waited at  the door"
2149,    “The master’s body
2150,” roared the butler into the mouthpiece
2151," “I’m  sorry, madame, but we can’t furnish it—it’s far too hot to touch this  noon"
2152,”    What he really said was: “Yes … Yes … I’ll see
2153,"”    He set down the receiver and came toward us, glistening slightly, to  take our stiff straw hats"
2154,    “Madame expects you in the salon
2155,"” he cried, needlessly indicating the  direction"
2156, In this heat every extra gesture was an affront to the  common store of life
2157,"    The room, shadowed well with awnings, was dark and cool"
2158," Daisy and  Jordan lay upon an enormous couch, like silver idols weighing down  their own white dresses against the singing breeze of the fans"
2159,"    “We can’t move,” they said together"
2160,"    Jordan’s fingers, powdered white over their tan, rested for a moment  in mine"
2161,    “And Mr
2162," Thomas Buchanan, the athlete"
2163,” I inquired
2164,"    Simultaneously I heard his voice, gruff, muffled, husky, at the hall  telephone"
2165,    Gatsby stood in the centre of the crimson carpet and gazed around with  fascinated eyes
2166," Daisy watched him and laughed, her sweet, exciting  laugh; a tiny gust of powder rose from her bosom into the air"
2167,"    “The rumour is,” whispered Jordan, “that that’s Tom’s girl on the  telephone"
2168,”    We were silent
2169," The voice in the hall rose high with annoyance: “Very  well, then, I won’t sell you the car at all … I’m under no obligations  to you at all … and as for your bothering me about it at lunch time, I  won’t stand that at all"
2170,"”    “Holding down the receiver,” said Daisy cynically"
2171,"    “No, he’s not,” I assured her"
2172, “It’s a bona-fide deal
2173, I happen to  know about it
2174,"”    Tom flung open the door, blocked out its space for a moment with his  thick body, and hurried into the room"
2175,    “Mr
2176, Gatsby
2177,"” He put out his broad, flat hand with well-concealed  dislike"
2178," “I’m glad to see you, sir … Nick …”    “Make us a cold drink,” cried Daisy"
2179,"    As he left the room again she got up and went over to Gatsby and  pulled his face down, kissing him on the mouth"
2180,"    “You know I love you,” she murmured"
2181,"    “You forget there’s a lady present,” said Jordan"
2182,    Daisy looked around doubtfully
2183,    “You kiss Nick too
2184,"”    “What a low, vulgar girl"
2185,”    “I don’t care
2186,"” cried Daisy, and began to clog on the brick fireplace"
2187,  Then she remembered the heat and sat down guiltily on the couch just  as a freshly laundered nurse leading a little girl came into the room
2188,"    “Bles-sed pre-cious,” she crooned, holding out her arms"
2189, “Come to your  own mother that loves you
2190,"”    The child, relinquished by the nurse, rushed across the room and  rooted shyly into her mother’s dress"
2191,    “The bles-sed pre-cious
2192, Did mother get powder on your old yellowy  hair
2193," Stand up now, and say—How-de-do"
2194,”    Gatsby and I in turn leaned down and took the small reluctant hand
2195,  Afterward he kept looking at the child with surprise
2196, I don’t think he  had ever really believed in its existence before
